SampleID	strain	compartment	soil	bio_replicate	tech_replicate
GH4_repA_412	R13DBC_R13Cmut300	Root	Jify	B	2
GH4_repA_413	R13DBC_R13Cmut300	Rhizosphere	Jify	B	3
GH4_repA_414	R13DBC_R13Cmut300	Root	Jify	B	3
GH4_repA_415	R13DBC_R13Cmut300	Rhizosphere	Jify	B	4
GH4_repA_416	R13DBC_R13Cmut300	Root	Jify	B	4
GH4_repA_417	R13DBC_R13Cmut300	Rhizosphere	Jify	B	5
GH4_repA_418	R13DBC_R13Cmut300	Root	Jify	B	5
GH4_repA_419	R13DBC_R13Cmut300	Rhizosphere	Jify	B	6
GH4_repA_420	R13DBC_R13Cmut300	Root	Jify	B	6
GH4_repA_421	R13DBC_R13Cmut300	Rhizosphere	Jify	B	7
GH4_repA_422	R13DBC_R13Cmut300	Root	Jify	B	7
GH4_repA_423	R13DBC_R13Cmut300	Rhizosphere	Jify	B	8
GH4_repA_424	R13DBC_R13Cmut300	Root	Jify	B	8
GH4_repA_425	R13DBC_R13Cmut300	Soil	Jify	B	1
GH4_repA_426	R13DBC_R13Cmut300	Soil	Jify	B	2
GH4_repA_427	R13DBC_R13Cmut300	Soil	Jify	B	3
GH4_repA_428	R13DBC_R13Cmut300	Soil	Jify	B	4
GH4_repA_429	R13DBC_R13Cmut300	Soil	Jify	B	5
GH4_repA_430	R13DBC_R13Cmut300	Soil	Jify	B	6
GH4_repA_431	R13DBC_R13Cmut300	Soil	Jify	B	7
GH4_repA_432	R13DBC_R13Cmut300	Soil	Jify	B	8
GH4_repA_433	R13DBC	Input	culture	A	
GH4_repA_434	R13CBD	Input	culture	A	
GH4_repA_435	R13Dmut300	Input	culture	A	
GH4_repA_436	R13Cmut300	Input	culture	A	
GH4_repA_437	R13DBC_R13CBC	Input	Inoc	A	
GH4_repA_438	R13Dmut300_R13CBC	Input	Inoc	A	
GH4_repA_439	R13DBC_R13Cmut300	Input	Inoc	A	
GH4_repA_440	R13DBC	Input	culture	B	
GH4_repA_441	R13CBD	Input	culture	B	
GH4_repA_442	R13Dmut300	Input	culture	B	
GH4_repA_443	R13Cmut300	Input	culture	B	
GH4_repA_444	R13DBC_R13CBC	Input	Inoc	B	
GH4_repA_445	R13Dmut300_R13CBC	Input	Inoc	B	
GH4_repA_446	R13DBC_R13Cmut300	Input	Inoc	B	
GH4_repA_447	control	Soil	Cas	B	
GH4_repA_448	control	Soil	Cas	B	
GH4_repA_449	control	Rhizosphere	Cas	B	
GH4_repA_450	control	Root	Cas	B	
GH4_repA_451	control	Rhizosphere	Cas	B	
GH4_repA_452	control	Root	Cas	B	
GH4_repA_453	control	Soil	Golm	B	
GH4_repA_454	control	Soil	Golm	B	
GH4_repA_455	control	Rhizosphere	Golm	B	
GH4_repA_456	control	Root	Golm	B	
GH4_repA_457	control	Rhizosphere	Golm	B	
GH4_repA_458	control	Root	Golm	B	
GH4_repA_459	control	Soil	Jify	B	
GH4_repA_460	control	Soil	Jify	B	
GH4_repA_461	control	Rhizosphere	Jify	B	
GH4_repA_462	control	Root	Jify	B	
GH4_repA_463	control	Rhizosphere	Jify	B	
GH4_repA_464	control	Root	Jify	B	
GH4_repA_465		Empty			
GH4_repA_466		Empty			
GH4_repA_467		Empty			
GH4_repA_468		Empty			
GH4_repA_469	R13DBC_dil	R13DBC	Input	A	
GH4_repA_470	R13DBC_dil	R13DBC	Input	A	
GH4_repA_471	R13DBC_dil	R13DBC	Input	A	
GH4_repA_472	R13DBC_dil	R13DBC	Input	A	
GH4_repA_473	R13DBC_dil	R13DBC	Input	A	
GH4_repA_474	R13DBC_dil	R13DBC	Input	A	
GH4_repA_475	R13DBC_dil	R13DBC	Input	B	
GH4_repA_476	R13DBC_dil	R13DBC	Input	B	
GH4_repA_477	R13DBC_dil	R13DBC	Input	B	
GH4_repA_478	R13DBC_dil	R13DBC	Input	B	
GH4_repA_479	R13DBC_dil	R13DBC	Input	B	
GH4_repA_480	R13DBC_dil	R13DBC	Input	B	
GH4_repA_481	R13CBC_dil	R13CBD	Input	A	
GH4_repA_482	R13CBC_dil	R13CBD	Input	A	
GH4_repA_483	R13CBC_dil	R13CBD	Input	A	
GH4_repA_484	R13CBC_dil	R13CBD	Input	A	
GH4_repA_485	R13CBC_dil	R13CBD	Input	A	
GH4_repA_486	R13CBC_dil	R13CBD	Input	A	
GH4_repA_487	R13CBC_dil	R13CBD	Input	B	
GH4_repA_488	R13CBC_dil	R13CBD	Input	B	
GH4_repA_489	R13CBC_dil	R13CBD	Input	B	
GH4_repA_490	R13CBC_dil	R13CBD	Input	B	
GH4_repA_491	R13CBC_dil	R13CBD	Input	B	
GH4_repA_492	R13CBC_dil	R13CBD	Input	B	
GH4_repA_493	R13Dmut300_dil	R13Dmut300	Input	A	
GH4_repA_494	R13Dmut300_dil	R13Dmut301	Input	A	
GH4_repA_495	R13Dmut300_dil	R13Dmut302	Input	A	
GH4_repA_496	R13Dmut300_dil	R13Dmut303	Input	A	
GH4_repA_497	R13Dmut300_dil	R13Dmut304	Input	A	
GH4_repA_498	R13Dmut300_dil	R13Dmut305	Input	A	
GH4_repA_499	R13Dmut300_dil	R13Dmut306	Input	B	
GH4_repA_500	R13Dmut300_dil	R13Dmut307	Input	B	
GH4_repA_501	R13Dmut300_dil	R13Dmut308	Input	B	
GH4_repA_502	R13Dmut300_dil	R13Dmut309	Input	B	
GH4_repA_503	R13Dmut300_dil	R13Dmut310	Input	B	
GH4_repA_504	R13Dmut300_dil	R13Dmut311	Input	B	
GH4_repA_505	R13Cmut300_dil	R13Cmut300	Input	A	
GH4_repA_506	R13Cmut300_dil	R13Cmut301	Input	A	
GH4_repA_507	R13Cmut300_dil	R13Cmut302	Input	A	
GH4_repA_508	R13Cmut300_dil	R13Cmut303	Input	A	
GH4_repA_509	R13Cmut300_dil	R13Cmut304	Input	A	
GH4_repA_510	R13Cmut300_dil	R13Cmut305	Input	A	
GH4_repA_511	R13Cmut300_dil	R13Cmut306	Input	B	
GH4_repA_512	R13Cmut300_dil	R13Cmut307	Input	B	
GH4_repA_513	R13Cmut300_dil	R13Cmut308	Input	B	
GH4_repA_514	R13Cmut300_dil	R13Cmut309	Input	B	
GH4_repA_515	R13Cmut300_dil	R13Cmut310	Input	B	
GH4_repA_516	R13Cmut300_dil	R13Cmut311	Input	B	
